,title,artist,lyrics,audio,text_arousal,text_valence,audio_arousal,audio_valence,arousal,valence
4jXgMitWFlkmXbKXUbyubz,Pieces of You,Chris Carmack,,temp/temp_features_4jXgMitWFlkmXbKXUbyubz.csv,,,0.5376461539116136,0.5963960375548275,,
59iILyv9x7MA04G1VDA5Q8,Singing to Me,Parker Millsap,temp/temp_59iILyv9x7MA04G1VDA5Q8.txt,temp/temp_features_59iILyv9x7MA04G1VDA5Q8.csv,0.10207428571428573,0.10565714285714285,0.5565101937048008,0.5814817130010194,,
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,,temp/temp_features_0u2P5u6lvoDfwTYjAADbn4.csv,,,0.4938989545327491,0.5059485989716589,,
2GwShNdcJHDLEkGO4L34lF,Back To You,The Mayries,,temp/temp_features_2GwShNdcJHDLEkGO4L34lF.csv,,,0.4719375827397988,0.4601933842017769,,
2RttW7RAu5nOAfq6YFvApB,Happier,Ed Sheeran,temp/temp_2RttW7RAu5nOAfq6YFvApB.txt,temp/temp_features_2RttW7RAu5nOAfq6YFvApB.csv,0.1264448275862069,0.18033793103448276,0.6178504301379248,0.6583225411858027,,
69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scott,temp/temp_69vToJ9BMbbLlFZo7k7A7B.txt,temp/temp_features_69vToJ9BMbbLlFZo7k7A7B.csv,0.13152488687782804,0.16584615384615384,0.6375006364492983,0.6138077240630664,,
7krbSH3rd8lhIZvuzTV3Bl,Naked,James Arthur,temp/temp_7krbSH3rd8lhIZvuzTV3Bl.txt,temp/temp_features_7krbSH3rd8lhIZvuzTV3Bl.csv,0.12795744680851065,0.14914285714285713,0.6296810455511941,0.6680621879426608,,
7sTtHHrD0zDpmzQzH3zegz,Consequences,Camila Cabello,temp/temp_7sTtHHrD0zDpmzQzH3zegz.txt,temp/temp_features_7sTtHHrD0zDpmzQzH3zegz.csv,0.10241618497109826,0.1426242774566474,0.4679043810547061,0.48898858877738405,,
4VuS959DSpr82t3qBqCrWG,Supermarket Flowers,Ed Sheeran,temp/temp_4VuS959DSpr82t3qBqCrWG.txt,temp/temp_features_4VuS959DSpr82t3qBqCrWG.csv,0.10230627306273063,0.166830258302583,0.512535735729555,0.5121592097879536,,
0VhgEqMTNZwYL1ARDLLNCX,Can I Be Him,James Arthur,temp/temp_0VhgEqMTNZwYL1ARDLLNCX.txt,temp/temp_features_0VhgEqMTNZwYL1ARDLLNCX.csv,0.1043342939481268,0.1683054755043228,0.5098246768489361,0.5050846022648933,,
5Cv1xqpyciZZuHHR7xr2l0,the broken hearts club,gnash,,temp/temp_features_5Cv1xqpyciZZuHHR7xr2l0.csv,,,0.5109757914010685,0.527504986957523,,
0jllH0usRFD4LJkJnGK9Lf,Complicated,Olivia O'Brien,,temp/temp_features_0jllH0usRFD4LJkJnGK9Lf.csv,,,0.3950408873638873,0.4942848838342826,,
5GT8b1dFaOWFF5twsmSOYx,The Best You Had,Nina Nesbitt,temp/temp_5GT8b1dFaOWFF5twsmSOYx.txt,temp/temp_features_5GT8b1dFaOWFF5twsmSOYx.csv,0.07033841463414633,0.07872560975609756,0.5909973052598534,0.6156459628653008,,
7fkXzzIVo98CgjOkpd9H0V,Already Gone,Sleeping At Last,,temp/temp_features_7fkXzzIVo98CgjOkpd9H0V.csv,,,0.39443201918698234,0.4230138846559275,,
