,mean,std,min,max
pcm_fftMag_spectralHarmonicity_sma_mean,1.561568282529871,2.342541094058262,0.012242340288426964,29.871076590909095
pcm_fftMag_mfcc_sma[1]_mean,24.644230304192472,11.231651454382321,-13.762662352272725,58.94327852272725
pcm_fftMag_mfcc_sma[2]_mean,1.0182223396712662,11.55256187028267,-67.4280914772727,36.49097818181818
pcm_fftMag_mfcc_sma[3]_mean,9.244436409565484,9.181298293432752,-34.240831910112355,43.11522903370785
pcm_fftMag_mfcc_sma[4]_mean,-0.15836415607931403,8.884309242156126,-36.207831363636366,27.69118954545454
pcm_fftMag_mfcc_sma[5]_mean,1.2181591628052708,9.377675011285827,-45.15796829545452,39.15716840909091
pcm_fftMag_mfcc_sma[6]_mean,-0.27588985089633905,8.05287245871199,-38.67227204545455,29.24950732584269
pcm_fftMag_mfcc_sma[7]_mean,0.15307031597434784,8.30410464935231,-35.91673483146068,26.045689418314605
pcm_fftMag_mfcc_sma[8]_mean,-0.792972384427462,7.5310667650684655,-31.396164545454546,45.24272555909091
pcm_fftMag_mfcc_sma[9]_mean,-0.31413449473703725,6.739734252409095,-30.95409102272725,36.422987795454546
pcm_fftMag_mfcc_sma[10]_mean,-1.5430438340191994,6.647261975276057,-34.070698068181805,36.02069751136364
pcm_fftMag_mfcc_sma[11]_mean,-0.3330068093808445,5.6530889862564155,-26.296106932954558,28.78819935000001
pcm_fftMag_mfcc_sma[12]_mean,-1.5342703575151833,5.1205555276321375,-36.63719687500002,20.02945153068182
pcm_fftMag_mfcc_sma[13]_mean,-0.4071916925122857,4.6429311046859985,-27.40858227272727,18.31669064772727
pcm_fftMag_mfcc_sma[14]_mean,-0.40868216173354543,3.909342169195357,-17.240258352272722,14.494818863636368
F0final_sma_de_mean,0.00010805630176875335,0.0013430238921276617,-0.00645840975988295,0.012565767345261351
voicingFinalUnclipped_sma_de_mean,5.294440266057098e-07,1.343276112002304e-06,-1.810000389717842e-05,1.3395498338547626e-05
jitterLocal_sma_de_mean,-5.960521774921284e-07,9.406225167293214e-07,-5.9860200613556765e-06,3.5494198648806817e-06
jitterDDP_sma_de_mean,-3.0744256796398787e-07,8.016057475593335e-07,-6.348738690820225e-06,3.5013692465e-06
shimmerLocal_sma_de_mean,-1.883029950603815e-06,3.326549138617553e-06,-1.9979774930340915e-05,1.0476181463965911e-05
logHNR_sma_de_mean,0.0003371515435089186,0.0007737747170152459,-0.0027447004087613647,0.004117729511733708
audspec_lengthL1norm_sma_de_mean,0.0001429942840198845,0.0002526028133108816,-0.0005663915681818183,0.0015517266972727276
audspecRasta_lengthL1norm_sma_de_mean,-2.585754097820694e-05,0.00037919292344378426,-0.014997725064772729,0.001914179313636364
